source_text,target_text,source_language_code,target_language_code
i,я,en,uk
you,ти,en,uk
he,він,en,uk
she,вона,en,uk
it,воно,en,uk
we,ми,en,uk
they,вони,en,uk
my,мій,en,uk
your,твій,en,uk
his,його,en,uk
her,її,en,uk
our,наш,en,uk
their,їхній,en,uk
this,це,en,uk
that,те,en,uk
these,ці,en,uk
those,ті,en,uk
who,хто,en,uk
what,що,en,uk
which,який,en,uk
to be,бути,en,uk
is,є,en,uk
am,є,en,uk
are,є,en,uk
was,був,en,uk
were,були,en,uk
have,мати,en,uk
has,має,en,uk
had,мав,en,uk
do,робити,en,uk
does,робить,en,uk
did,робив,en,uk
go,йти,en,uk
goes,йде,en,uk
went,пішов,en,uk
come,приходити,en,uk
comes,приходить,en,uk
came,прийшов,en,uk
see,бачити,en,uk
sees,бачить,en,uk
saw,бачив,en,uk
look,дивитися,en,uk
looks,дивиться,en,uk
looked,дивився,en,uk
hear,чути,en,uk
hears,чує,en,uk
heard,чув,en,uk
listen,слухати,en,uk
listens,слухає,en,uk
listened,слухав,en,uk
tell,розповідати,en,uk
tells,розповідає,en,uk
told,розповів,en,uk
say,сказати,en,uk
says,каже,en,uk
said,сказав,en,uk
speak,говорити,en,uk
speaks,говорить,en,uk
spoke,говорив,en,uk
ask,запитати,en,uk
asks,запитує,en,uk
asked,запитав,en,uk
answer,відповідати,en,uk
answers,відповідає,en,uk
answered,відповів,en,uk
know,знати,en,uk
knows,знає,en,uk
knew,знав,en,uk
think,думати,en,uk
thinks,думає,en,uk
thought,думав,en,uk
feel,відчувати,en,uk
feels,відчуває,en,uk
felt,відчував,en,uk
want,хотіти,en,uk
wants,хоче,en,uk
wanted,хотів,en,uk
need,потребувати,en,uk
needs,потребує,en,uk
needed,потребував,en,uk
try,пробувати,en,uk
tries,пробує,en,uk
tried,пробував,en,uk
use,використовувати,en,uk
uses,використовує,en,uk
used,використовував,en,uk
make,робити,en,uk
makes,робить,en,uk
made,зробив,en,uk
give,давати,en,uk
gives,дає,en,uk
gave,дав,en,uk
take,брати,en,uk
takes,бере,en,uk
took,взяв,en,uk
put,класти,en,uk
puts,кладе,en,uk
find,знаходити,en,uk
finds,знаходить,en,uk
found,знайшов,en,uk
get,отримувати,en,uk
gets,отримує,en,uk
got,отримав,en,uk
leave,залишати,en,uk
leaves,залишає,en,uk
left,залишив,en,uk
bring,приносити,en,uk
brings,приносить,en,uk
brought,приніс,en,uk
buy,купувати,en,uk
buys,купує,en,uk
bought,купив,en,uk
sell,продавати,en,uk
sells,продає,en,uk
sold,продав,en,uk
pay,платити,en,uk
pays,платить,en,uk
paid,заплатив,en,uk
send,відправляти,en,uk
sends,відправляє,en,uk
sent,відправив,en,uk
receive,отримувати,en,uk
receives,отримує,en,uk
received,отримав,en,uk
learn,вчитися,en,uk
learns,вчиться,en,uk
learned,вчився,en,uk
teach,навчати,en,uk
teaches,навчає,en,uk
taught,навчав,en,uk
study,вивчати,en,uk
studies,вивчає,en,uk
studied,вивчав,en,uk
work,працювати,en,uk
works,працює,en,uk
worked,працював,en,uk
play,грати,en,uk
plays,грає,en,uk
played,грав,en,uk
live,жити,en,uk
lives,живе,en,uk
lived,жив,en,uk
start,починати,en,uk
starts,починає,en,uk
started,почав,en,uk
finish,закінчувати,en,uk
finishes,закінчує,en,uk
finished,закінчив,en,uk
stop,зупиняти,en,uk
stops,зупиняє,en,uk
stopped,зупинив,en,uk
open,відкривати,en,uk
opens,відкриває,en,uk
opened,відкрив,en,uk
close,закривати,en,uk
closes,закриває,en,uk
closed,закрив,en,uk
wait,чекати,en,uk
waits,чекає,en,uk
waited,чекав,en,uk
arrive,прибувати,en,uk
arrives,прибуває,en,uk
arrived,прибув,en,uk
travel,подорожувати,en,uk
travels,подорожує,en,uk
traveled,подорожував,en,uk
walk,ходити,en,uk
walks,ходить,en,uk
walked,ходив,en,uk
run,бігти,en,uk
runs,біжить,en,uk
ran,біг,en,uk
move,рухатися,en,uk
moves,рухається,en,uk
moved,рухався,en,uk
help,допомагати,en,uk
helps,допомагає,en,uk
helped,допоміг,en,uk
show,показувати,en,uk
shows,показує,en,uk
showed,показав,en,uk
write,писати,en,uk
writes,пише,en,uk
wrote,писав,en,uk
read,читати,en,uk
reads,читає,en,uk
remember,пам'ятати,en,uk
remembers,пам'ятає,en,uk
remembered,пам'ятав,en,uk
forget,забувати,en,uk
forgets,забуває,en,uk
forgot,забув,en,uk
understand,розуміти,en,uk
understands,розуміє,en,uk
understood,розумів,en,uk
love,любити,en,uk
loves,любить,en,uk
loved,любив,en,uk
like,подобатися,en,uk
likes,подобається,en,uk
liked,подобався,en,uk
hate,ненавидіти,en,uk
hates,ненавидить,en,uk
hated,ненавидів,en,uk
eat,їсти,en,uk
eats,їсть,en,uk
ate,їв,en,uk
drink,пити,en,uk
drinks,п'є,en,uk
drank,пив,en,uk
sleep,спати,en,uk
sleeps,спить,en,uk
slept,спав,en,uk
wake,прокидатися,en,uk
wakes,прокидається,en,uk
woke,прокинувся,en,uk
dress,одягатися,en,uk
dresses,одягається,en,uk
dressed,одягався,en,uk
wash,мити,en,uk
washes,миє,en,uk
washed,мив,en,uk
clean,чистити,en,uk
cleans,чистить,en,uk
cleaned,чистив,en,uk
cook,готувати,en,uk
cooks,готує,en,uk
cooked,готував,en,uk
break,ламати,en,uk
breaks,ламає,en,uk
broke,зламав,en,uk
fix,ремонтувати,en,uk
fixes,ремонтує,en,uk
fixed,ремонтував,en,uk
build,будувати,en,uk
builds,будує,en,uk
built,будував,en,uk
create,створювати,en,uk
creates,створює,en,uk
created,створив,en,uk
destroy,руйнувати,en,uk
destroys,руйнує,en,uk
destroyed,зруйнував,en,uk
change,змінювати,en,uk
changes,змінює,en,uk
changed,змінював,en,uk
grow,рости,en,uk
grows,росте,en,uk
grew,ріс,en,uk
happen,траплятися,en,uk
happens,трапляється,en,uk
happened,трапилося,en,uk
appear,з'являтися,en,uk
appears,з'являється,en,uk
appeared,з'явився,en,uk
time,час,en,uk
day,день,en,uk
year,рік,en,uk
week,тиждень,en,uk
month,місяць,en,uk
hour,година,en,uk
minute,хвилина,en,uk
second,секунда,en,uk
morning,ранок,en,uk
afternoon,післяобідній час,en,uk
evening,вечір,en,uk
night,ніч,en,uk
today,сьогодні,en,uk
tomorrow,завтра,en,uk
yesterday,вчора,en,uk
now,зараз,en,uk
later,пізніше,en,uk
soon,скоро,en,uk
early,рано,en,uk
late,пізно,en,uk
always,завжди,en,uk
usually,зазвичай,en,uk
often,часто,en,uk
sometimes,іноді,en,uk
rarely,рідко,en,uk
never,ніколи,en,uk
place,місце,en,uk
house,будинок,en,uk
apartment,квартира,en,uk
room,кімната,en,uk
kitchen,кухня,en,uk
bathroom,ванна кімната,en,uk
bedroom,спальня,en,uk
office,офіс,en,uk
building,будівля,en,uk
street,вулиця,en,uk
road,дорога,en,uk
city,місто,en,uk
town,містечко,en,uk
village,село,en,uk
country,країна,en,uk
state,штат,en,uk
world,світ,en,uk
school,школа,en,uk
university,університет,en,uk
library,бібліотека,en,uk
store,магазин,en,uk
shop,магазин,en,uk
restaurant,ресторан,en,uk
cafe,кафе,en,uk
hospital,лікарня,en,uk
bank,банк,en,uk
hotel,готель,en,uk
airport,аеропорт,en,uk
station,станція,en,uk
market,ринок,en,uk
park,парк,en,uk
beach,пляж,en,uk
mountain,гора,en,uk
river,річка,en,uk
lake,озеро,en,uk
sea,море,en,uk
ocean,океан,en,uk
forest,ліс,en,uk
person,особа,en,uk
people,люди,en,uk
man,чоловік,en,uk
woman,жінка,en,uk
child,дитина,en,uk
children,діти,en,uk
boy,хлопчик,en,uk
girl,дівчинка,en,uk
baby,немовля,en,uk
friend,друг,en,uk
family,сім'я,en,uk
parent,батько,en,uk
mother,мати,en,uk
father,батько,en,uk
son,син,en,uk
daughter,дочка,en,uk
brother,брат,en,uk
sister,сестра,en,uk
husband,чоловік,en,uk
wife,дружина,en,uk
grandfather,дідусь,en,uk
grandmother,бабуся,en,uk
uncle,дядько,en,uk
aunt,тітка,en,uk
cousin,двоюрідний брат/сестра,en,uk
neighbor,сусід,en,uk
teacher,вчитель,en,uk
student,студент,en,uk
doctor,лікар,en,uk
nurse,медсестра,en,uk
lawyer,юрист,en,uk
engineer,інженер,en,uk
artist,художник,en,uk
musician,музикант,en,uk
actor,актор,en,uk
writer,письменник,en,uk
driver,водій,en,uk
worker,робітник,en,uk
boss,бос,en,uk
employee,працівник,en,uk
customer,клієнт,en,uk
food,їжа,en,uk
water,вода,en,uk
bread,хліб,en,uk
meat,м'ясо,en,uk
chicken,курка,en,uk
fish,риба,en,uk
egg,яйце,en,uk
cheese,сир,en,uk
butter,масло,en,uk
oil,олія,en,uk
salt,сіль,en,uk
sugar,цукор,en,uk
fruit,фрукт,en,uk
apple,яблуко,en,uk
orange,апельсин,en,uk
banana,банан,en,uk
vegetable,овоч,en,uk
potato,картопля,en,uk
tomato,помідор,en,uk
carrot,морква,en,uk
rice,рис,en,uk
pasta,макарони,en,uk
soup,суп,en,uk
salad,салат,en,uk
sandwich,бутерброд,en,uk
pizza,піца,en,uk
cake,торт,en,uk
chocolate,шоколад,en,uk
coffee,кава,en,uk
tea,чай,en,uk
juice,сік,en,uk
milk,молоко,en,uk
beer,пиво,en,uk
wine,вино,en,uk
breakfast,сніданок,en,uk
lunch,обід,en,uk
dinner,вечеря,en,uk
meal,прийом їжі,en,uk
drink,напій,en,uk
color,колір,en,uk
red,червоний,en,uk
blue,синій,en,uk
green,зелений,en,uk
yellow,жовтий,en,uk
black,чорний,en,uk
white,білий,en,uk
orange,помаранчевий,en,uk
purple,фіолетовий,en,uk
pink,рожевий,en,uk
brown,коричневий,en,uk
gray,сірий,en,uk
gold,золотий,en,uk
silver,срібний,en,uk
animal,тварина,en,uk
dog,собака,en,uk
cat,кіт,en,uk
bird,птах,en,uk
fish,риба,en,uk
horse,кінь,en,uk
cow,корова,en,uk
pig,свиня,en,uk
sheep,вівця,en,uk
chicken,курка,en,uk
lion,лев,en,uk
tiger,тигр,en,uk
bear,ведмідь,en,uk
monkey,мавпа,en,uk
elephant,слон,en,uk
snake,змія,en,uk
insect,комаха,en,uk
fly,муха,en,uk
bee,бджола,en,uk
spider,павук,en,uk
body,тіло,en,uk
head,голова,en,uk
face,обличчя,en,uk
eye,око,en,uk
ear,вухо,en,uk
nose,ніс,en,uk
mouth,рот,en,uk
tooth,зуб,en,uk
hair,волосся,en,uk
hand,рука,en,uk
arm,рука,en,uk
finger,палець,en,uk
leg,нога,en,uk
foot,стопа,en,uk
heart,серце,en,uk
blood,кров,en,uk
bone,кістка,en,uk
skin,шкіра,en,uk
clothes,одяг,en,uk
shirt,сорочка,en,uk
pants,штани,en,uk
skirt,спідниця,en,uk
dress,сукня,en,uk
jacket,куртка,en,uk
coat,пальто,en,uk
hat,капелюх,en,uk
shoe,взуття,en,uk
sock,шкарпетка,en,uk
glove,рукавичка,en,uk
scarf,шарф,en,uk
belt,пояс,en,uk
uniform,уніформа,en,uk
size,розмір,en,uk
big,великий,en,uk
small,маленький,en,uk
large,великий,en,uk
little,маленький,en,uk
tall,високий,en,uk
short,короткий,en,uk
long,довгий,en,uk
high,високий,en,uk
low,низький,en,uk
wide,широкий,en,uk
narrow,вузький,en,uk
thick,товстий,en,uk
thin,тонкий,en,uk
heavy,важкий,en,uk
light,легкий,en,uk
full,повний,en,uk
empty,порожній,en,uk
deep,глибокий,en,uk
shallow,мілкий,en,uk
shape,форма,en,uk
round,круглий,en,uk
square,квадратний,en,uk
circle,коло,en,uk
triangle,трикутник,en,uk
line,лінія,en,uk
point,точка,en,uk
edge,край,en,uk
corner,кут,en,uk
side,сторона,en,uk
top,верх,en,uk
bottom,низ,en,uk
front,перед,en,uk
back,зад,en,uk
middle,середина,en,uk
center,центр,en,uk
inside,всередині,en,uk
outside,зовні,en,uk
left,ліворуч,en,uk
right,праворуч,en,uk
up,вгору,en,uk
down,вниз,en,uk
north,північ,en,uk
south,південь,en,uk
east,схід,en,uk
west,захід,en,uk
direction,напрямок,en,uk
distance,відстань,en,uk
position,позиція,en,uk
space,простір,en,uk
area,площа,en,uk
volume,об'єм,en,uk
number,число,en,uk
zero,нуль,en,uk
one,один,en,uk
two,два,en,uk
three,три,en,uk
four,чотири,en,uk
five,п'ять,en,uk
six,шість,en,uk
seven,сім,en,uk
eight,вісім,en,uk
nine,дев'ять,en,uk
ten,десять,en,uk
hundred,сто,en,uk
thousand,тисяча,en,uk
million,мільйон,en,uk
first,перший,en,uk
second,другий,en,uk
third,третій,en,uk
last,останній,en,uk
next,наступний,en,uk
previous,попередній,en,uk
age,вік,en,uk
young,молодий,en,uk
old,старий,en,uk
new,новий,en,uk
modern,сучасний,en,uk
ancient,давній,en,uk
date,дата,en,uk
holiday,свято,en,uk
birthday,день народження,en,uk
wedding,весілля,en,uk
anniversary,річниця,en,uk
thing,річ,en,uk
object,об'єкт,en,uk
item,предмет,en,uk
gift,подарунок,en,uk
toy,іграшка,en,uk
box,коробка,en,uk
container,контейнер,en,uk
bottle,пляшка,en,uk
can,консервна банка,en,uk
cup,чашка,en,uk
glass,склянка,en,uk
plate,тарілка,en,uk
bowl,миска,en,uk
spoon,ложка,en,uk
fork,виделка,en,uk
knife,ніж,en,uk
bag,сумка,en,uk
basket,кошик,en,uk
key,ключ,en,uk
lock,замок,en,uk
door,двері,en,uk
window,вікно,en,uk
wall,стіна,en,uk
floor,підлога,en,uk
ceiling,стеля,en,uk
roof,дах,en,uk
furniture,меблі,en,uk
table,стіл,en,uk
chair,стілець,en,uk
bed,ліжко,en,uk
sofa,диван,en,uk
desk,письмовий стіл,en,uk
shelf,полиця,en,uk
mirror,дзеркало,en,uk
picture,картина,en,uk
clock,годинник,en,uk
watch,наручний годинник,en,uk
calendar,календар,en,uk
book,книга,en,uk
magazine,журнал,en,uk
newspaper,газета,en,uk
letter,лист,en,uk
note,записка,en,uk
paper,папір,en,uk
pen,ручка,en,uk
pencil,олівець,en,uk
money,гроші,en,uk
coin,монета,en,uk
bill,банкнота,en,uk
card,картка,en,uk
check,чек,en,uk
price,ціна,en,uk
cost,вартість,en,uk
machine,машина,en,uk
engine,двигун,en,uk
tool,інструмент,en,uk
computer,комп'ютер,en,uk
phone,телефон,en,uk
camera,камера,en,uk
television,телевізор,en,uk
radio,радіо,en,uk
movie,фільм,en,uk
video,відео,en,uk
music,музика,en,uk
song,пісня,en,uk
sound,звук,en,uk
voice,голос,en,uk
noise,шум,en,uk
light,світло,en,uk
electricity,електрика,en,uk
power,потужність,en,uk
energy,енергія,en,uk
heat,тепло,en,uk
fire,вогонь,en,uk
ice,лід,en,uk
steam,пара,en,uk
gas,газ,en,uk
weather,погода,en,uk
temperature,температура,en,uk
hot,гарячий,en,uk
cold,холодний,en,uk
warm,теплий,en,uk
cool,прохолодний,en,uk
sun,сонце,en,uk
moon,місяць,en,uk
star,зірка,en,uk
sky,небо,en,uk
cloud,хмара,en,uk
rain,дощ,en,uk
snow,сніг,en,uk
wind,вітер,en,uk
storm,буря,en,uk
air,повітря,en,uk
earth,земля,en,uk
ground,земля,en,uk
soil,ґрунт,en,uk
grass,трава,en,uk
tree,дерево,en,uk
flower,квітка,en,uk
plant,рослина,en,uk
leaf,листок,en,uk
branch,гілка,en,uk
root,корінь,en,uk
seed,насіння,en,uk
material,матеріал,en,uk
metal,метал,en,uk
wood,дерево,en,uk
plastic,пластик,en,uk
glass,скло,en,uk
paper,папір,en,uk
cotton,бавовна,en,uk
wool,вовна,en,uk
leather,шкіра,en,uk
stone,камінь,en,uk
rock,скеля,en,uk
sand,пісок,en,uk
mud,болото,en,uk
dust,пил,en,uk
good,добрий,en,uk
bad,поганий,en,uk
better,кращий,en,uk
worse,гірший,en,uk
best,найкращий,en,uk
worst,найгірший,en,uk
right,правильний,en,uk
wrong,неправильний,en,uk
true,правдивий,en,uk
false,хибний,en,uk
real,справжній,en,uk
fake,підробка,en,uk
natural,природний,en,uk
artificial,штучний,en,uk
normal,нормальний,en,uk
strange,дивний,en,uk
common,поширений,en,uk
rare,рідкісний,en,uk
simple,простий,en,uk
complicated,складний,en,uk
easy,легкий,en,uk
difficult,важкий,en,uk
quiet,тихий,en,uk
loud,гучний,en,uk
fast,швидкий,en,uk
slow,повільний,en,uk
quick,швидкий,en,uk
busy,зайнятий,en,uk
free,вільний,en,uk
available,доступний,en,uk
necessary,необхідний,en,uk
possible,можливий,en,uk
impossible,неможливий,en,uk
important,важливий,en,uk
serious,серйозний,en,uk
interesting,цікавий,en,uk
boring,нудний,en,uk
exciting,захоплюючий,en,uk
fun,веселий,en,uk
funny,смішний,en,uk
sad,сумний,en,uk
happy,щасливий,en,uk
angry,сердитий,en,uk
afraid,наляканий,en,uk
nervous,нервовий,en,uk
tired,втомлений,en,uk
sick,хворий,en,uk
healthy,здоровий,en,uk
hungry,голодний,en,uk
thirsty,спраглий,en,uk
rich,багатий,en,uk
poor,бідний,en,uk
expensive,дорогий,en,uk
cheap,дешевий,en,uk
free,безкоштовний,en,uk
dangerous,небезпечний,en,uk
safe,безпечний,en,uk
clean,чистий,en,uk
dirty,брудний,en,uk
beautiful,красивий,en,uk
ugly,потворний,en,uk
near,близький,en,uk
far,далекий,en,uk
open,відкритий,en,uk
closed,закритий,en,uk
public,громадський,en,uk
private,приватний,en,uk
legal,легальний,en,uk
illegal,нелегальний,en,uk
official,офіційний,en,uk
personal,особистий,en,uk
special,особливий,en,uk
general,загальний,en,uk
specific,конкретний,en,uk
different,різний,en,uk
similar,схожий,en,uk
same,такий самий,en,uk
other,інший,en,uk
opposite,протилежний,en,uk
separate,окремий,en,uk
together,разом,en,uk
alone,на самоті,en,uk
single,одинокий,en,uk
married,одружений,en,uk
every,кожен,en,uk
any,будь-який,en,uk
some,деякі,en,uk
all,все,en,uk
many,багато,en,uk
few,мало,en,uk
several,кілька,en,uk
each,кожен,en,uk
both,обидва,en,uk
neither,жоден,en,uk
question,питання,en,uk
answer,відповідь,en,uk
word,слово,en,uk
sentence,речення,en,uk
language,мова,en,uk
name,ім'я,en,uk
title,назва,en,uk
message,повідомлення,en,uk
conversation,розмова,en,uk
story,історія,en,uk
news,новини,en,uk
report,звіт,en,uk
article,стаття,en,uk
issue,проблема,en,uk
problem,проблема,en,uk
solution,рішення,en,uk
help,допомога,en,uk
advice,порада,en,uk
information,інформація,en,uk
data,дані,en,uk
fact,факт,en,uk
detail,деталь,en,uk
example,приклад,en,uk
idea,ідея,en,uk
thought,думка,en,uk
opinion,думка,en,uk
belief,віра,en,uk
knowledge,знання,en,uk
education,освіта,en,uk
experience,досвід,en,uk
skill,вміння,en,uk
ability,здібність,en,uk
talent,талант,en,uk
mind,розум,en,uk
memory,пам'ять,en,uk
dream,мрія,en,uk
chance,шанс,en,uk
opportunity,можливість,en,uk
choice,вибір,en,uk
decision,рішення,en,uk
reason,причина,en,uk
cause,причина,en,uk
effect,ефект,en,uk
result,результат,en,uk
success,успіх,en,uk
failure,невдача,en,uk
progress,прогрес,en,uk
change,зміна,en,uk
difference,різниця,en,uk
mistake,помилка,en,uk
error,помилка,en,uk
fault,вина,en,uk
damage,пошкодження,en,uk
loss,втрата,en,uk
way,шлях,en,uk
method,метод,en,uk
plan,план,en,uk
idea,ідея,en,uk
subject,тема,en,uk
topic,тема,en,uk
concern,стурбованість,en,uk
matter,питання,en,uk
point,точка,en,uk
view,погляд,en,uk
perspective,перспектива,en,uk
side,сторона,en,uk
history,історія,en,uk
future,майбутнє,en,uk
present,теперішнє,en,uk
past,минуле,en,uk
beginning,початок,en,uk
end,кінець,en,uk
start,початок,en,uk
finish,кінець,en,uk
event,подія,en,uk
situation,ситуація,en,uk
condition,стан,en,uk
state,стан,en,uk
behavior,поведінка,en,uk
action,дія,en,uk
activity,діяльність,en,uk
practice,практика,en,uk
performance,продуктивність,en,uk
job,робота,en,uk
career,кар'єра,en,uk
business,бізнес,en,uk
company,компанія,en,uk
industry,промисловість,en,uk
product,продукт,en,uk
service,послуга,en,uk
quality,якість,en,uk
health,здоров'я,en,uk
safety,безпека,en,uk
security,безпека,en,uk
comfort,комфорт,en,uk
peace,мир,en,uk
stress,стрес,en,uk
pain,біль,en,uk
death,смерть,en,uk
life,життя,en,uk
nature,природа,en,uk
environment,середовище,en,uk
society,суспільство,en,uk
community,спільнота,en,uk
government,уряд,en,uk
law,закон,en,uk
rule,правило,en,uk
right,право,en,uk
freedom,свобода,en,uk
justice,справедливість,en,uk
crime,злочин,en,uk
war,війна,en,uk
peace,мир,en,uk
economy,економіка,en,uk
management,управління,en,uk
development,розвиток,en,uk
research,дослідження,en,uk
technology,технологія,en,uk
science,наука,en,uk
art,мистецтво,en,uk
design,дизайн,en,uk
style,стиль,en,uk
fashion,мода,en,uk
culture,культура,en,uk
tradition,традиція,en,uk
religion,релігія,en,uk
god,бог,en,uk
belief,віра,en,uk
value,значення,en,uk
standard,стандарт,en,uk
level,рівень,en,uk
goal,ціль,en,uk
purpose,мета,en,uk
role,роль,en,uk
responsibility,відповідальність,en,uk
duty,обов'язок,en,uk
limit,межа,en,uk
need,потреба,en,uk
requirement,вимога,en,uk
permission,дозвіл,en,uk
support,підтримка,en,uk
benefit,користь,en,uk
advantage,перевага,en,uk
disadvantage,недолік,en,uk
use,використання,en,uk
system,система,en,uk
network,мережа,en,uk
connection,з'єднання,en,uk
communication,комунікація,en,uk
relationship,відносини,en,uk
contact,контакт,en,uk
meeting,зустріч,en,uk
appointment,призначення,en,uk
visit,візит,en,uk
trip,подорож,en,uk
journey,подорож,en,uk
vacation,відпустка,en,uk
holiday,свято,en,uk
celebration,святкування,en,uk
party,вечірка,en,uk
game,гра,en,uk
sport,спорт,en,uk
exercise,вправа,en,uk
fun,веселощі,en,uk
entertainment,розвага,en,uk
line,лінія,en,uk
traffic,трафік,en,uk
transport,транспорт,en,uk
travel,подорож,en,uk
vehicle,транспортний засіб,en,uk
car,машина,en,uk
bus,автобус,en,uk
train,потяг,en,uk
plane,літак,en,uk
ship,корабель,en,uk
bicycle,велосипед,en,uk
form,форма,en,uk
list,список,en,uk
group,група,en,uk
class,клас,en,uk
type,тип,en,uk
kind,вид,en,uk
source,джерело,en,uk
resource,ресурс,en,uk 